Source,Target,Association
Sample_Sales_Report_78752638/Connection_customer_vw,Sample_Sales_Report_78752638/customer_vw,core.DataSourceParentChild
Sample_Sales_Report_78752638/customer_vw,Sample_Sales_Report_78752638/ds_customer_vw,core.DataSetDataFlow
Sample_Sales_Report_78752638/customer_vw,Sample_Sales_Report_78752638/customer_vw/segment,core.DataSetToDataElementParentship
Sample_Sales_Report_78752638/customer_vw/segment,Sample_Sales_Report_78752638/ds_customer_vw/segment,core.DirectionalDataFlow
Sample_Sales_Report_78752638/ReportSection1/Visual2_pieChart,Sample_Sales_Report_78752638/ReportSection1/Visual2_pieChart/customer_vw_customer_count,custom.PowerBI.v3.VisualToField
Sample_Sales_Report_78752638/ds_customer_vw,Sample_Sales_Report_78752638/ds_customer_vw/customer_count,custom.PowerBI.v3.DatasetToField
Sample_Sales_Report_78752638/ds_customer_vw/customer_count,Sample_Sales_Report_78752638/ReportSection1/Visual2_pieChart/customer_vw_customer_count,core.DirectionalDataFlow
Sample_Sales_Report_78752638/customer_vw,Sample_Sales_Report_78752638/customer_vw/customer_count,core.DataSetToDataElementParentship
Sample_Sales_Report_78752638/customer_vw/customer_count,Sample_Sales_Report_78752638/ds_customer_vw/customer_count,core.DirectionalDataFlow
Sample_Sales_Report_78752638,Sample_Sales_Report_78752638/ReportSection2,custom.PowerBI.v3.ReportToSection
Sample_Sales_Report_78752638/ReportSection2,Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx,custom.PowerBI.v3.SectionToVisual
Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx,Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx/customer_vw_customer_name,custom.PowerBI.v3.VisualToField
Sample_Sales_Report_78752638/ds_customer_vw,Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx,core.DataSetDataFlow
Sample_Sales_Report_78752638/ds_customer_vw,Sample_Sales_Report_78752638/ds_customer_vw/customer_name,custom.PowerBI.v3.DatasetToField
Sample_Sales_Report_78752638/ds_customer_vw/customer_name,Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx/customer_vw_customer_name,core.DirectionalDataFlow
Sample_Sales_Report_78752638/customer_vw,Sample_Sales_Report_78752638/customer_vw/customer_name,core.DataSetToDataElementParentship
Sample_Sales_Report_78752638/customer_vw/customer_name,Sample_Sales_Report_78752638/ds_customer_vw/customer_name,core.DirectionalDataFlow
Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx,Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx/customer_vw_region,custom.PowerBI.v3.VisualToField
Sample_Sales_Report_78752638/ds_customer_vw,Sample_Sales_Report_78752638/ds_customer_vw/region,custom.PowerBI.v3.DatasetToField
Sample_Sales_Report_78752638/ds_customer_vw/region,Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx/customer_vw_region,core.DirectionalDataFlow
Sample_Sales_Report_78752638/customer_vw,Sample_Sales_Report_78752638/customer_vw/region,core.DataSetToDataElementParentship
Sample_Sales_Report_78752638/customer_vw/region,Sample_Sales_Report_78752638/ds_customer_vw/region,core.DirectionalDataFlow
Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx,Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx/customer_vw_lifetime_value,custom.PowerBI.v3.VisualToField
Sample_Sales_Report_78752638/ds_customer_vw,Sample_Sales_Report_78752638/ds_customer_vw/lifetime_value,custom.PowerBI.v3.DatasetToField
Sample_Sales_Report_78752638/ds_customer_vw/lifetime_value,Sample_Sales_Report_78752638/ReportSection2/Visual1_tableEx/customer_vw_lifetime_value,core.DirectionalDataFlow
Sample_Sales_Report_78752638/customer_vw,Sample_Sales_Report_78752638/customer_vw/lifetime_value,core.DataSetToDataElementParentship
Sample_Sales_Report_78752638/customer_vw/lifetime_value,Sample_Sales_Report_78752638/ds_customer_vw/lifetime_value,core.DirectionalDataFlow
$resource,Simpfy_project_96010eb4,core.ResourceParentChild
Simpfy_project_96010eb4,Simpfy_project_96010eb4/605491f5f08a57683ed5,custom.PowerBI.v3.ReportToSection
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual1_card,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual1_card,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual1_card/Min_simpfy_projects_vw_corp_initiative_name,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4,Simpfy_project_96010eb4/ds_simpfy_projects_vw,custom.PowerBI.v3.ReportToDataset
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual1_card,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/corp_initiative_name,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/corp_initiative_name,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual1_card/Min_simpfy_projects_vw_corp_initiative_name,core.DirectionalDataFlow
$resource,Simpfy_project_96010eb4/Reference_simpfy_projects_vw,core.ResourceParentChild
Simpfy_project_96010eb4/Reference_simpfy_projects_vw,Simpfy_project_96010eb4/Connection_simpfy_projects_vw,core.ResourceParentChild
Simpfy_project_96010eb4/Connection_simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw,core.DataSourceParentChild
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw,core.DataSetDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/corp_initiative_name,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/corp_initiative_name,Simpfy_project_96010eb4/ds_simpfy_projects_vw/corp_initiative_name,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual2_card,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual2_card,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual2_card/Min_simpfy_projects_vw_segment_initiative_name,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual2_card,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_initiative_name,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_initiative_name,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual2_card/Min_simpfy_projects_vw_segment_initiative_name,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/segment_initiative_name,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/segment_initiative_name,Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_initiative_name,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual3_card,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual3_card,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual3_card/simpfy_projects_vw_distinct_count_enablers_with,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual3_card,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/distinct_count_enablers_with,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/distinct_count_enablers_with,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual3_card/simpfy_projects_vw_distinct_count_enablers_with,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/distinct_count_enablers_with,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/distinct_count_enablers_with,Simpfy_project_96010eb4/ds_simpfy_projects_vw/distinct_count_enablers_with,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual4_slicer,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual4_slicer,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual4_slicer/simpfy_projects_vw_corp_initiative_name,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual4_slicer,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw/corp_initiative_name,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual4_slicer/simpfy_projects_vw_corp_initiative_name,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual5_slicer,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual5_slicer,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual5_slicer/simpfy_projects_vw_project_country,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual5_slicer,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_country,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_country,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual5_slicer/simpfy_projects_vw_project_country,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/project_country,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/project_country,Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_country,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual6_slicer,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual6_slicer,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual6_slicer/simpfy_projects_vw_Enablers,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual6_slicer,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/Enablers,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Enablers,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual6_slicer/simpfy_projects_vw_Enablers,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/Enablers,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/Enablers,Simpfy_project_96010eb4/ds_simpfy_projects_vw/Enablers,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual7_slicer,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual7_slicer,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual7_slicer/simpfy_projects_vw_segment_name,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual7_slicer,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_name,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_name,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual7_slicer/simpfy_projects_vw_segment_name,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/segment_name,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/segment_name,Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_name,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual8_slicer,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual8_slicer,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual8_slicer/simpfy_projects_vw_Pillars,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual8_slicer,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/Pillars,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Pillars,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual8_slicer/simpfy_projects_vw_Pillars,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/Pillars,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/Pillars,Simpfy_project_96010eb4/ds_simpfy_projects_vw/Pillars,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual9_slicer,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual9_slicer,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual9_slicer/simpfy_projects_vw_start_year,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual9_slicer,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/start_year,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/start_year,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual9_slicer/simpfy_projects_vw_start_year,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/start_year,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/start_year,Simpfy_project_96010eb4/ds_simpfy_projects_vw/start_year,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap/CountNonNull_simpfy_projects_vw_project_id,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_id,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_id,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap/CountNonNull_simpfy_projects_vw_project_id,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/project_id,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/project_id,Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_id,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap/CountNonNull_simpfy_projects_vw_project_version_id,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_version_id,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_version_id,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap/CountNonNull_simpfy_projects_vw_project_version_id,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/project_version_id,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/project_version_id,Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_version_id,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap/simpfy_projects_vw_project_country,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_country,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap/simpfy_projects_vw_project_country,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart/Count_simpfy_projects_vw_project_name,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_name,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_name,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart/Count_simpfy_projects_vw_project_name,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/project_name,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/project_name,Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_name,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart/simpfy_projects_vw_segment_name_abbreviated,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_name_abbreviated,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_name_abbreviated,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart/simpfy_projects_vw_segment_name_abbreviated,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/segment_name_abbreviated,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/segment_name_abbreviated,Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_name_abbreviated,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart/Min_simpfy_projects_vw_segment_name,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/segment_name,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart/Min_simpfy_projects_vw_segment_name,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart/LastMilestonesTable_LastMilestoneStatus,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4,Simpfy_project_96010eb4/ds_LastMilestonesTable,custom.PowerBI.v3.ReportToDataset
Simpfy_project_96010eb4/ds_LastMilestonesTable,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_LastMilestonesTable,Simpfy_project_96010eb4/ds_LastMilestonesTable/LastMilestoneStatus,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_LastMilestonesTable/LastMilestoneStatus,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart/LastMilestonesTable_LastMilestoneStatus,core.DirectionalDataFlow
$resource,Simpfy_project_96010eb4/Reference_LastMilestonesTable,core.ResourceParentChild
Simpfy_project_96010eb4/Reference_LastMilestonesTable,Simpfy_project_96010eb4/Connection_LastMilestonesTable,core.ResourceParentChild
Simpfy_project_96010eb4/Connection_LastMilestonesTable,Simpfy_project_96010eb4/LastMilestonesTable,core.DataSourceParentChild
Simpfy_project_96010eb4/LastMilestonesTable,Simpfy_project_96010eb4/ds_LastMilestonesTable,core.DataSetDataFlow
Simpfy_project_96010eb4/LastMilestonesTable,Simpfy_project_96010eb4/LastMilestonesTable/LastMilestoneStatus,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/LastMilestonesTable/LastMilestoneStatus,Simpfy_project_96010eb4/ds_LastMilestonesTable/LastMilestoneStatus,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart,custom.PowerBI.v3.SectionToVisual
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart/simpfy_projects_vw_project_type,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart,core.DataSetDataFlow
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_type,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_type,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart/simpfy_projects_vw_project_type,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/project_type,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/project_type,Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_type,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart/simpfy_projects_vw_Total_cost_distinct_project_currency2,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw,Simpfy_project_96010eb4/ds_simpfy_projects_vw/Total_cost_distinct_project_currency2,custom.PowerBI.v3.DatasetToField
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Total_cost_distinct_project_currency2,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart/simpfy_projects_vw_Total_cost_distinct_project_currency2,core.DirectionalDataFlow
Simpfy_project_96010eb4/simpfy_projects_vw,Simpfy_project_96010eb4/simpfy_projects_vw/Total_cost_distinct_project_currency2,core.DataSetToDataElementParentship
Simpfy_project_96010eb4/simpfy_projects_vw/Total_cost_distinct_project_currency2,Simpfy_project_96010eb4/ds_simpfy_projects_vw/Total_cost_distinct_project_currency2,core.DirectionalDataFlow
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart,Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart/Stage_sort_Stage,custom.PowerBI.v3.VisualToField
Simpfy_project_96010eb4,Simpfy_project_96010eb4/ds_Stage_sort,custom.PowerBI.v3.ReportToDataset
